model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,,200,0.05,0,3000,1200018,18,0,1.7794,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.05,0,3000,1200019,19,0,1.7991,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200100,0,0,1.7367,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200101,1,0,1.6864,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200102,2,0,1.8185,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200103,3,0,1.6993,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200104,4,0,1.7806,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200105,5,0,1.8256,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200106,6,0,1.8212,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200107,7,0,1.8065,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200108,8,0,1.7498,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200109,9,0,1.7864,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200110,10,0,1.7678,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200111,11,0,1.8899,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200112,12,0,1.7148,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200113,13,0,1.7685,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200114,14,0,1.799,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200115,15,0,1.7586,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200116,16,0,1.7874,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200117,17,0,1.7393,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200118,18,0,1.7211,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.1,1,3000,1200119,19,0,1.7179,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200200,0,0,1.9436,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200201,1,0,2.0571,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200202,2,0,1.8687,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200203,3,0,1.866,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200204,4,0,1.7026,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200205,5,0,2.0842,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200206,6,0,1.9071,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200207,7,0,1.8091,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200208,8,0,1.7499,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200209,9,0,1.926,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200210,10,0,1.9123,,final_fine_grid_steps3000_R20_v1
