model,rho_label,eta,t,va_mean,va_stdev
voter,rho_1_over_2pi,0,0,0.1829666868985596,0.14535351708997185
voter,rho_1_over_2pi,0,50,0.21187580118753355,0.1284083004843332
voter,rho_1_over_2pi,0,100,0.28350390975169915,0.1618765040727366
voter,rho_1_over_2pi,0,150,0.33868524126306415,0.16983606809825294
voter,rho_1_over_2pi,0,200,0.37677828489162263,0.17190119246500518
voter,rho_1_over_2pi,0,250,0.4512316349341382,0.18976849377993618
voter,rho_1_over_2pi,0,300,0.4575533073427046,0.213931556070165
voter,rho_1_over_2pi,0,350,0.5068564888751231,0.22952190637947828
voter,rho_1_over_2pi,0,400,0.5428522178102979,0.23581190832473375
voter,rho_1_over_2pi,0,450,0.5403865304381613,0.26808593071464365
voter,rho_1_over_2pi,0,500,0.6021504619434626,0.2830582677080295
voter,rho_1_over_2pi,0,550,0.6264723864214333,0.298012917279957
voter,rho_1_over_2pi,0,600,0.6422366118556376,0.3074983413759165
voter,rho_1_over_2pi,0,650,0.660229540192737,0.3175579810540627
voter,rho_1_over_2pi,0,700,0.6558194220071654,0.3157867007610831
voter,rho_1_over_2pi,0,750,0.666465482295317,0.3230214254528013
voter,rho_1_over_2pi,0,800,0.6688656568230356,0.32408517747920307
voter,rho_1_over_2pi,0,850,0.7100462245636148,0.30603598047875824
voter,rho_1_over_2pi,0,900,0.7146314428367004,0.305566882507661
voter,rho_1_over_2pi,0,950,0.7278022745568693,0.28365805103954767
voter,rho_1_over_2pi,0,1000,0.7295611792866101,0.2823089512493992
voter,rho_1_over_2pi,0,1050,0.7767693749105902,0.2911029751068145
voter,rho_1_over_2pi,0,1100,0.7780973917309915,0.2882153227777114
voter,rho_1_over_2pi,0,1150,0.7771528976806906,0.2899141784127758
voter,rho_1_over_2pi,0,1200,0.804132981210325,0.26332611227198305
voter,rho_1_over_2pi,0,1250,0.8089242496056063,0.26385736635826446
voter,rho_1_over_2pi,0,1300,0.8089242496056063,0.26385736635826446
voter,rho_1_over_2pi,0,1350,0.8236306906609385,0.2652412291889057
voter,rho_1_over_2pi,0,1400,0.829447277913269,0.2677576482229891
voter,rho_1_over_2pi,0,1450,0.8342961387588934,0.2528168808101943
voter,rho_1_over_2pi,0,1500,0.8346825097850619,0.26043774645722845
voter,rho_1_over_2pi,0,1550,0.8636494930683168,0.22294240608857524
voter,rho_1_over_2pi,0,1600,0.8800685006119189,0.2211153814149278
voter,rho_1_over_2pi,0,1650,0.8808068880731973,0.2214896706216511
voter,rho_1_over_2pi,0,1700,0.8808068880731973,0.2214896706216511
voter,rho_1_over_2pi,0,1750,0.8909592195927795,0.22206616947521987
voter,rho_1_over_2pi,0,1800,0.8909592195927795,0.22206616947521987
voter,rho_1_over_2pi,0,1850,0.8909592195927795,0.22206616947521987
voter,rho_1_over_2pi,0,1900,0.8909592195927795,0.22206616947521987
voter,rho_1_over_2pi,0,1950,0.8909592195927795,0.22206616947521987
voter,rho_1_over_2pi,0,2000,0.8884349551283961,0.22426812217159953
voter,rho_1_over_2pi,0,2050,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2100,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2150,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2200,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2250,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2300,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2350,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2400,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2450,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2500,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2550,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2600,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2650,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2700,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2750,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2800,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2850,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2900,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,2950,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0,3000,0.9049458307479197,0.21967128736570868
voter,rho_1_over_2pi,0.20000000000000001,0,0.26045167045383566,0.11667840722445162
voter,rho_1_over_2pi,0.20000000000000001,50,0.33373756459846154,0.17003126271664082
voter,rho_1_over_2pi,0.20000000000000001,100,0.41189812677627813,0.1963679629703305
voter,rho_1_over_2pi,0.20000000000000001,150,0.46696474332432236,0.2053473885051552
voter,rho_1_over_2pi,0.20000000000000001,200,0.49514444421635045,0.2194664683588941
voter,rho_1_over_2pi,0.20000000000000001,250,0.5471595872147997,0.23990958789989517
voter,rho_1_over_2pi,0.20000000000000001,300,0.5686257159351322,0.26809756547782065
voter,rho_1_over_2pi,0.20000000000000001,350,0.5976438030787616,0.22825063687903535
voter,rho_1_over_2pi,0.20000000000000001,400,0.6194666789508935,0.2255788341014227
voter,rho_1_over_2pi,0.20000000000000001,450,0.6430686270733449,0.23016689470439117
voter,rho_1_over_2pi,0.20000000000000001,500,0.6709562502992839,0.19038845088658396
voter,rho_1_over_2pi,0.20000000000000001,550,0.679748499888081,0.18692018178761177
voter,rho_1_over_2pi,0.20000000000000001,600,0.697724966959139,0.18951539036164186
voter,rho_1_over_2pi,0.20000000000000001,650,0.7358319043258097,0.19567703267949813
voter,rho_1_over_2pi,0.20000000000000001,700,0.7748040928271115,0.18546198834366306
voter,rho_1_over_2pi,0.20000000000000001,750,0.7863003891258733,0.16223769415955508
voter,rho_1_over_2pi,0.20000000000000001,800,0.8012012538718656,0.1431412258214929
voter,rho_1_over_2pi,0.20000000000000001,850,0.7688248982402506,0.16795490379328137
voter,rho_1_over_2pi,0.20000000000000001,900,0.782735170294807,0.13246628584536516
voter,rho_1_over_2pi,0.20000000000000001,950,0.8039280015564007,0.1380543184204897
voter,rho_1_over_2pi,0.20000000000000001,1000,0.7960924420118534,0.15706368473928092
voter,rho_1_over_2pi,0.20000000000000001,1050,0.8093912832492052,0.1791621753068734
voter,rho_1_over_2pi,0.20000000000000001,1100,0.7602640365282205,0.22402857395396994
voter,rho_1_over_2pi,0.20000000000000001,1150,0.8015824446394296,0.1932896226412996
voter,rho_1_over_2pi,0.20000000000000001,1200,0.7890050277157126,0.18441298931532954
voter,rho_1_over_2pi,0.20000000000000001,1250,0.7429788286388564,0.24003085533148724
voter,rho_1_over_2pi,0.20000000000000001,1300,0.818357008038617,0.18192836028118595
voter,rho_1_over_2pi,0.20000000000000001,1350,0.8011861391342787,0.24373810502084883
voter,rho_1_over_2pi,0.20000000000000001,1400,0.7625924259359457,0.259234875898871
voter,rho_1_over_2pi,0.20000000000000001,1450,0.7666288460765723,0.2021433856242152
voter,rho_1_over_2pi,0.20000000000000001,1500,0.8002628310619286,0.21571349615984708
voter,rho_1_over_2pi,0.20000000000000001,1550,0.7986146884546776,0.196693626012951
voter,rho_1_over_2pi,0.20000000000000001,1600,0.7831585007551386,0.20185406981299922
voter,rho_1_over_2pi,0.20000000000000001,1650,0.7565386021018321,0.28773418917091736
voter,rho_1_over_2pi,0.20000000000000001,1700,0.7900736313858082,0.24737992605626566
voter,rho_1_over_2pi,0.20000000000000001,1750,0.8047571187935396,0.2089756279187348
voter,rho_1_over_2pi,0.20000000000000001,1800,0.7873172509907379,0.2518355210314425
voter,rho_1_over_2pi,0.20000000000000001,1850,0.7958132561774164,0.21276341182065187
voter,rho_1_over_2pi,0.20000000000000001,1900,0.8012145896078907,0.18874212191524775
voter,rho_1_over_2pi,0.20000000000000001,1950,0.8025946266124515,0.22279057150165776
voter,rho_1_over_2pi,0.20000000000000001,2000,0.8815355285093289,0.11098843601190193
voter,rho_1_over_2pi,0.20000000000000001,2050,0.8811371255359457,0.10545748230174307
voter,rho_1_over_2pi,0.20000000000000001,2100,0.8567859715358104,0.1362797603571499
voter,rho_1_over_2pi,0.20000000000000001,2150,0.835775440388647,0.16824351745673277
voter,rho_1_over_2pi,0.20000000000000001,2200,0.8495880923070459,0.16223472279182127
voter,rho_1_over_2pi,0.20000000000000001,2250,0.8841842818048244,0.11827316670924337
voter,rho_1_over_2pi,0.20000000000000001,2300,0.8696363379292483,0.13091887705131447
voter,rho_1_over_2pi,0.20000000000000001,2350,0.8489708938933965,0.14336775136091826
voter,rho_1_over_2pi,0.20000000000000001,2400,0.8707095678024537,0.12139455696067997
voter,rho_1_over_2pi,0.20000000000000001,2450,0.8988101959654935,0.10655859439886947
voter,rho_1_over_2pi,0.20000000000000001,2500,0.8688019004764233,0.13248461256383876
voter,rho_1_over_2pi,0.20000000000000001,2550,0.7966801499344913,0.20634266564928588
voter,rho_1_over_2pi,0.20000000000000001,2600,0.8048053178987654,0.22539826596716947
voter,rho_1_over_2pi,0.20000000000000001,2650,0.855111072962347,0.1538078452466217
voter,rho_1_over_2pi,0.20000000000000001,2700,0.8755870899133564,0.1314929885828134
voter,rho_1_over_2pi,0.20000000000000001,2750,0.8511527175276212,0.16792487645401924
voter,rho_1_over_2pi,0.20000000000000001,2800,0.8676282497914141,0.1497913496129882
voter,rho_1_over_2pi,0.20000000000000001,2850,0.8495140893822706,0.184816223998047
voter,rho_1_over_2pi,0.20000000000000001,2900,0.8330780910718969,0.22827941229790596
voter,rho_1_over_2pi,0.20000000000000001,2950,0.8224885603724514,0.19466798895594212
voter,rho_1_over_2pi,0.20000000000000001,3000,0.8529391530826566,0.17656308523918035
voter,rho_1_over_2pi,0.40000000000000002,0,0.16728032256356656,0.09794874236876691
voter,rho_1_over_2pi,0.40000000000000002,50,0.3181161202308488,0.18889800054899386
voter,rho_1_over_2pi,0.40000000000000002,100,0.37317425713787233,0.1997037577886358
voter,rho_1_over_2pi,0.40000000000000002,150,0.3990640162604134,0.1711069121659181
voter,rho_1_over_2pi,0.40000000000000002,200,0.417416460652443,0.22506014233799804
voter,rho_1_over_2pi,0.40000000000000002,250,0.4648481954364394,0.20273347848582102
voter,rho_1_over_2pi,0.40000000000000002,300,0.4226856261537037,0.188371735690246
voter,rho_1_over_2pi,0.40000000000000002,350,0.40436272056470884,0.21074169734796636
voter,rho_1_over_2pi,0.40000000000000002,400,0.5106326261126432,0.22178206648864981
voter,rho_1_over_2pi,0.40000000000000002,450,0.5059574276310028,0.21059676287173107
voter,rho_1_over_2pi,0.40000000000000002,500,0.5814528074180363,0.2188024123620819
voter,rho_1_over_2pi,0.40000000000000002,550,0.6153830933240191,0.20854312147532114
voter,rho_1_over_2pi,0.40000000000000002,600,0.5762951709272776,0.2115061594151956
voter,rho_1_over_2pi,0.40000000000000002,650,0.6120217330510742,0.19190317006870433
voter,rho_1_over_2pi,0.40000000000000002,700,0.5595011890815255,0.1929501034248124
voter,rho_1_over_2pi,0.40000000000000002,750,0.5731747954014755,0.21654695875505792
voter,rho_1_over_2pi,0.40000000000000002,800,0.5983388599044811,0.20166035174406477
voter,rho_1_over_2pi,0.40000000000000002,850,0.5666285963482782,0.1981060074916606
voter,rho_1_over_2pi,0.40000000000000002,900,0.6179597840791788,0.19167984229714988
voter,rho_1_over_2pi,0.40000000000000002,950,0.5674821226751179,0.2258726782748137
voter,rho_1_over_2pi,0.40000000000000002,1000,0.5782942733399817,0.19198692144141966
voter,rho_1_over_2pi,0.40000000000000002,1050,0.6151070357185592,0.17675322679385216
voter,rho_1_over_2pi,0.40000000000000002,1100,0.6161980694532303,0.2325900368020823
voter,rho_1_over_2pi,0.40000000000000002,1150,0.5935369728294921,0.18962267334648295
voter,rho_1_over_2pi,0.40000000000000002,1200,0.5765317281855517,0.21994050925389166
voter,rho_1_over_2pi,0.40000000000000002,1250,0.5731913923398368,0.2703372503000756
voter,rho_1_over_2pi,0.40000000000000002,1300,0.5199739782238593,0.2170605146089591
voter,rho_1_over_2pi,0.40000000000000002,1350,0.6509118864879724,0.18743436793400775
voter,rho_1_over_2pi,0.40000000000000002,1400,0.6911894386410653,0.1953241297932859
voter,rho_1_over_2pi,0.40000000000000002,1450,0.6763420631769115,0.2198682516819928
