model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
vicsek,rho_1_over_pi,0,20,0.9999711964188391,9.92783475719015e-05,2.2199313386462294e-05,0.9407374250499666,0.15112507876678585,0.033792594922754327,550,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.050000000000000003,20,0.9962179348538951,0.013951668559561923,0.003119687929872703,0.9362685293137908,0.10486037731951392,0.02344749318327103,500,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.10000000000000001,20,0.9941623368520596,0.0060525061321309755,0.0013533815145679185,0.8765687458361093,0.1198877244316035,0.026807710149682775,700,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.14999999999999999,20,0.9908834841251355,0.0056017225793745865,0.0012525832478577036,0.8615568787475016,0.12286175001568764,0.02747272248696634,500,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.20000000000000001,20,0.9868904089076009,0.006044258654386362,0.0013515373224799313,0.8497928464357095,0.11922087054657628,0.026658597087884706,650,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.29999999999999999,20,0.965452984877839,0.018124714771170388,0.0040528094301131535,0.8137200199866756,0.11181682105132794,0.025003001289869875,550,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.40000000000000002,20,0.9490526967347556,0.03779477030498621,0.008451167559593962,0.8516343271152564,0.08094132618163376,0.018099030753111655,750,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.5,20,0.9339933014190809,0.032015230474849804,0.007158823165708703,0.8115745752831446,0.10543351258530526,0.023575650124732214,2900,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.59999999999999998,20,0.9132837922648115,0.06113718905594532,0.013670691068234993,0.8600995169886743,0.11663975709941475,0.026081442575335508,2850,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,0.80000000000000004,20,0.8676798368069629,0.04637980759189075,0.010370840255882852,0.837059668554297,0.08048930789622724,0.01799795639178747,2700,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,1,20,0.8045920773948436,0.06104071978003818,0.013649119882368138,0.805303755829447,0.09204461182382079,0.020581800900064416,2850,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,1.2,20,0.739923316827136,0.05619160126022075,0.012564824018241643,0.75768654230513,0.0935428624649629,0.020916819928157058,3000,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,1.3999999999999999,20,0.7263514060023761,0.05295299566328573,0.011840649791535844,0.7624937541638908,0.09313321411616778,0.020825219772679412,sin_evidencia,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,1.6000000000000001,20,0.6354721977750261,0.07905911799859924,0.017678156208604502,0.7007588690872751,0.11498655081266386,0.025711774411535007,2850,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,1.8,20,0.5736178379849209,0.07923868090539442,0.01771830769518765,0.660481553964024,0.09678424174714116,0.021641614369738063,2950,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
