model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250206,6,0,0.4007,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250207,7,0,0.4026,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250208,8,0,0.3393,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250209,9,0,0.3592,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250210,10,0,0.4286,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250211,11,0,0.3913,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250212,12,0,0.4155,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250213,13,0,0.3902,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250214,14,0,0.3557,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250215,15,0,0.3458,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250216,16,0,0.4214,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250217,17,0,0.4165,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250218,18,0,0.4704,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250219,19,0,0.4322,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250300,0,0,0.4943,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250301,1,0,0.4831,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250302,2,0,0.4899,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250303,3,0,0.4628,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250304,4,0,0.3247,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250305,5,0,0.4207,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250306,6,0,0.4768,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250307,7,0,0.4004,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250308,8,0,0.4675,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250309,9,0,0.4654,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250310,10,0,0.4734,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250311,11,0,0.4591,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250312,12,0,0.4647,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250313,13,0,0.4076,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250314,14,0,0.4213,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250315,15,0,0.4903,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250316,16,0,0.3519,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250317,17,0,0.3982,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250318,18,0,0.4269,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.15,3,3000,1250319,19,0,0.408,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250400,0,0,0.4661,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250401,1,0,0.4463,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250402,2,0,0.3952,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250403,3,0,0.4182,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250404,4,0,0.3702,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250405,5,0,0.371,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250406,6,0,0.3588,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250407,7,0,0.4306,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250408,8,0,0.4358,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250409,9,0,0.4479,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250410,10,0,0.3742,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250411,11,0,0.4074,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250412,12,0,0.3946,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250413,13,0,0.4186,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250414,14,0,0.4043,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250415,15,0,0.426,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250416,16,0,0.4066,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250417,17,0,0.4377,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250418,18,0,0.3654,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.2,4,3000,1250419,19,0,0.3985,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250500,0,0,0.4591,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250501,1,0,0.447,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250502,2,0,0.4434,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250503,3,0,0.4174,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250504,4,0,0.4015,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250505,5,0,0.3982,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250506,6,0,0.3736,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250507,7,0,0.4216,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250508,8,0,0.3667,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250509,9,0,0.3792,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250510,10,0,0.4397,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250511,11,0,0.3865,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250512,12,0,0.439,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250513,13,0,0.4819,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250514,14,0,0.4192,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250515,15,0,0.4576,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250516,16,0,0.3963,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250517,17,0,0.4199,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250518,18,0,0.4432,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.3,5,3000,1250519,19,0,0.4379,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250600,0,0,0.4579,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250601,1,0,0.4095,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250602,2,0,0.3666,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250603,3,0,0.5067,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250604,4,0,0.502,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250605,5,0,0.5771,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250606,6,0,0.6152,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250607,7,0,0.5935,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250608,8,0,0.528,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250609,9,0,0.5113,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250610,10,0,0.5766,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250611,11,0,0.4143,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250612,12,0,0.3468,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250613,13,0,0.4112,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250614,14,0,0.3858,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250615,15,0,0.361,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250616,16,0,0.3576,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250617,17,0,0.3659,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250618,18,0,0.4,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.4,6,3000,1250619,19,0,0.3747,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250700,0,0,0.4199,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250701,1,0,0.4058,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250702,2,0,0.4022,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250703,3,0,0.4428,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250704,4,0,0.4229,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250705,5,0,0.4107,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250706,6,0,0.3601,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250707,7,0,0.4634,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250708,8,0,0.4373,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250709,9,0,0.384,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250710,10,0,0.4912,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250711,11,0,0.4106,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250712,12,0,0.3878,,vicsek_lowrho_cluster_study_1
