model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250106,6,3000,0.1219143428109502,0.09375,1500,0.9997359735892759,0.00011749605622700026,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250107,7,3000,0.12071075989036789,0.15625,1500,0.9996880924370755,0.0001913671591947388,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250108,8,3000,0.08120715446119786,0.1875,1500,0.9993283173700611,0.000668989231797716,0.9767863091272485,0.015780074680761907,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250109,9,3000,0.10535428243235923,0.125,1500,0.9989624501574565,0.0012223177835377218,0.8516405729513657,0.17996697054111813,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250110,10,3000,0.060500792562454025,0.15625,1500,0.9998154564098186,6.406143001904213e-05,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250111,11,3000,0.23060095333004632,0.125,1500,0.9978523026567404,0.002123675546234948,0.9302964690206529,0.03493849236431664,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250112,12,3000,0.11129847040644304,0.25,1500,0.9988939695149885,0.00154431993284082,0.98952781479014,0.014750902505898255,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250113,13,3000,0.11264798591246931,0.1875,1500,0.936988388100459,0.03361512186466901,0.5510076615589606,0.10871795525761963,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250114,14,3000,0.18670792491934696,0.15625,1500,0.9997978080348192,8.499157578832419e-05,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250115,15,3000,0.14339087698348446,0.125,1500,0.9993242671509671,0.00054233538383533,0.9058544303797469,0.15404793961694252,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250116,16,3000,0.13566505996232275,0.125,1500,0.9994869175588991,0.0004717570468202381,0.9290056628914057,0.07779890276687153,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250117,17,3000,0.15453781521424037,0.1875,1500,0.9992044057263504,0.0009133367791990776,0.9421010992671552,0.1137179982458396,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250118,18,3000,0.0883122212440369,0.21875,1500,0.9997674815242444,0.00011062667895187617,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.050000000000000003,1250119,19,3000,0.09146652906783886,0.15625,1500,0.9998042031466756,6.822944326000273e-05,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250200,0,3000,0.048478577658339746,0.15625,1500,0.9987385090959154,0.0010103472635295827,0.9627748167888075,0.056058156535039635,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250201,1,3000,0.13398968950450688,0.1875,1500,0.9918588131126311,0.014782018384891772,0.8614257161892072,0.2008923125642321,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250202,2,3000,0.10099420533696447,0.125,1500,0.9989162631983425,0.0005294218824092778,0.9998542638241172,0.0021290881765147376,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250203,3,3000,0.22651158949605163,0.1875,1500,0.9948817095533345,0.005531833524410679,0.8797676548967355,0.1088347769892906,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250204,4,3000,0.28557538249091874,0.125,1500,0.9968028687691075,0.0020885863861037184,0.9382495003331113,0.011830873243722426,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250205,5,3000,0.25323861723901364,0.15625,1500,0.9990543568434627,0.00040575521290280747,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250206,6,3000,0.05934827582720681,0.3125,1500,0.9991226931897305,0.0004103890724780388,0.9945661225849434,0.011844055279280705,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250207,7,3000,0.22015068316484568,0.1875,1500,0.9991454977800891,0.00033597938992354563,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250208,8,3000,0.18765424417592838,0.09375,1500,0.9943850897458403,0.00704975501655146,0.8609260493004663,0.16950857575988343,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250209,9,3000,0.11578878056137373,0.125,1500,0.9986796955656496,0.0008335278162092258,0.9895902731512325,0.014728935839293798,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250210,10,3000,0.1927568071871625,0.09375,1500,0.9925466387188188,0.010272768292335706,0.8297176882078614,0.23007464019721396,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250211,11,3000,0.12225748792606224,0.3125,1500,0.9922626356724435,0.005683159042840061,0.8169553630912725,0.13678871294162367,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250212,12,3000,0.21435486647327387,0.09375,1500,0.9768616493108727,0.010319108394721698,0.613403564290473,0.021223081919220184,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250213,13,3000,0.24693974264721905,0.125,1500,0.9978667526595048,0.0015018882652724844,0.6808794137241839,0.2402547492826884,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250214,14,3000,0.3047526974602099,0.15625,1500,0.9980245972483773,0.0019455965432359963,0.9017113590939374,0.10001333150251926,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250215,15,3000,0.19108096499088117,0.125,1500,0.98093262883687,0.02143222843202236,0.8103139573617588,0.17106758920578066,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250216,16,3000,0.09477500416717256,0.125,1500,0.9914040900265547,0.0134313958807597,0.9218021319120586,0.14328779336577663,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250217,17,3000,0.3002329650958134,0.09375,1500,0.9922377390663182,0.006332703120734713,0.8464981678880746,0.13628576594167463,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250218,18,3000,0.10537487681060992,0.125,1500,0.9912528681312357,0.006535925636949848,0.6393446035976016,0.19835331528798705,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.10000000000000001,1250219,19,3000,0.15306667384108333,0.1875,1500,0.9982716405160919,0.0014545376106351985,0.9835942704863424,0.02806134911715054,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250300,0,3000,0.030871745170369464,0.15625,1500,0.9976470420217409,0.0018906721056574701,0.996148401065956,0.010272665298750146,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250301,1,3000,0.10155382129911775,0.09375,1500,0.993583604277115,0.006309133331766765,0.7757120253164557,0.11303051487143029,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250302,2,3000,0.11029125144838137,0.1875,1500,0.9760086980267156,0.029659596315505663,0.8736467355096602,0.11778660346872305,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250303,3,3000,0.17654125778173313,0.09375,1500,0.9896767127615477,0.0076776010589642806,0.7343437708194537,0.23985989691083012,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250304,4,3000,0.07739489661325878,0.125,1500,0.9981323134754309,0.0009944629172261425,1.0,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250305,5,3000,0.15404597597311637,0.125,1500,0.9963124196160545,0.003535401526740902,0.9239881745502998,0.08676280959209022,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250306,6,3000,0.10711529182202785,0.15625,1500,0.9931461370620912,0.0057734099632218835,0.78125,0.0,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250307,7,3000,0.18084559044121146,0.1875,1500,0.99554736703132,0.004735084951441183,0.9846560626249167,0.02228222396628053,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250308,8,3000,0.24649216002476726,0.09375,1500,0.9943235146763345,0.011646713246109686,0.9817621585609594,0.055560565237086385,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250309,9,3000,0.07084462492832205,0.21875,1500,0.9934652363807844,0.007103471434527451,0.7739215522984677,0.13768935589835413,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250310,10,3000,0.08225173097928636,0.125,1500,0.9889116846883398,0.011240675600139461,0.683648401065956,0.21215368398958998,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250311,11,3000,0.17441981206256096,0.28125,1500,0.9870812397540848,0.02675057591438273,0.977973017988008,0.04127295886408854,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250312,12,3000,0.15448325427284784,0.15625,1500,0.9884583711168747,0.02009307736773759,0.9596935376415723,0.08664480348082007,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250313,13,3000,0.13855693150593312,0.15625,1500,0.9916976022697706,0.00826371986215263,0.5883161225849434,0.17057238016544596,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0.31830988618379069,32,0.14999999999999999,1250314,14,3000,0.13755756103324837,0.09375,1500,0.9913914708906257,0.007666589835371033,0.8514323784143905,0.10616646423825873,vicsek_lowrho_cluster_study_1
