model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_2,0.050000000000000003,350,20,0.9929903766926966,0.023573002401462193,0.005271083580343525,0.998,0.006000000000000005,0.0013416407864998748,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,400,20,0.9945339119491869,0.01912633430680519,0.0042767783670402725,0.99875,0.004437059837324716,0.0009921567416492222,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,450,20,0.9954575225057137,0.01721021956394764,0.0038483220852683713,0.99875,0.004437059837324716,0.0009921567416492222,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,500,20,0.9964404963650745,0.014129771330487038,0.0031595129201496663,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,550,20,0.997202988081823,0.0112989845331278,0.0025265297492792485,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,600,20,0.9977990649725467,0.008780973043142093,0.0019634852633058915,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,650,20,0.9984470636113574,0.006032631075029166,0.0013489373166942849,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,700,20,0.9988787639562868,0.004096880696027176,0.0009160903732023417,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,750,20,0.9992531715988602,0.0023973924203903956,0.0005360732420735678,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,800,20,0.9995271928728059,0.001350959432492885,0.00030208371258986285,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,850,20,0.9996540913359956,0.0006496026730261239,0.0001452555735251982,0.9994999999999999,0.002179449471770339,0.00048733971724044866,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,900,20,0.9997555966147031,0.0003345297727239921,7.480313123084013e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,950,20,0.9997516202278378,0.00022943082874499798,5.1302292920792823e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1000,20,0.9997569783814665,0.0001723894244479738,3.854744716677335e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1050,20,0.9997904567788687,0.00011298655570888756,2.5264561910863953e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1100,20,0.999806917120508,0.00011106031820557583,2.48338421110425e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1150,20,0.9998003024471627,0.00015014445916895438,3.357332171467236e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1200,20,0.9997732407417832,0.00022676951355189674,5.0707204752660086e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1250,20,0.9998116857912225,4.333406077405115e-05,9.689790563188552e-06,0.9994999999999999,0.002179449471770339,0.00048733971724044866,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1300,20,0.9998081703737253,7.354180346990577e-05,1.644444717466392e-05,0.9994999999999999,0.002179449471770339,0.00048733971724044866,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1350,20,0.9998136902859642,8.572072241534372e-05,1.916773624010985e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1400,20,0.9997623853777788,0.00016193174751855306,3.620903951668175e-05,0.9977499999999999,0.009807522622966525,0.002193028727582019,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1450,20,0.9997956105409249,8.667333956893376e-05,1.9380747911305822e-05,0.9977499999999999,0.009807522622966525,0.002193028727582019,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1500,20,0.9998227982782388,4.188667622481776e-05,9.366145539021677e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1550,20,0.999815484485751,4.588645388057963e-05,1.0260523012338508e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1600,20,0.9998360519059064,2.785329432728662e-05,6.228185951312215e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1650,20,0.9998300438945181,3.4712731454631675e-05,7.762002721725158e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1700,20,0.999843029021857,3.803330607924047e-05,8.504505780223769e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1750,20,0.999840135516625,3.215611130876247e-05,7.19032507784426e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1800,20,0.999834432134181,4.0500773491567124e-05,9.056248266846559e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1850,20,0.9998341998424646,3.0209623722523006e-05,6.755077221825169e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1900,20,0.9998222219479936,3.7742161707958e-05,8.439403919678365e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,1950,20,0.9998165378334589,5.826839240911188e-05,1.302920863664069e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2000,20,0.9998240348046096,4.960237425229565e-05,1.1091428067351837e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2050,20,0.9998210498929019,3.671238018524383e-05,8.209137771002152e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2100,20,0.999824799572903,4.403867405407113e-05,9.84734688238593e-06,0.9984999999999999,0.006538348415311016,0.0014620191517213457,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2150,20,0.9998141899215675,5.635205399720644e-05,1.2600702340949233e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2200,20,0.9998227761082621,5.265424615332558e-05,1.177384737028428e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2250,20,0.9998402898183774,2.4819545848685026e-05,5.549819168833242e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2300,20,0.9998232684414209,4.337008017996182e-05,9.697844747201093e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2350,20,0.9998289275591095,3.6054034785073114e-05,8.06192726425655e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2400,20,0.9998173455748676,7.36952438920388e-05,1.6478757496102492e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2450,20,0.9998277461187037,5.9010265358050975e-05,1.3195096471090293e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2500,20,0.9998297494577401,3.963554559024523e-05,8.862777426508036e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2550,20,0.9998341405992978,3.5272226302958297e-05,7.887109573117084e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2600,20,0.9998184981663882,4.395445693876765e-05,9.828515362917177e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2650,20,0.9998260668365335,5.2716274962824016e-05,1.178771743374447e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2700,20,0.9998215953361672,3.5764819166781105e-05,7.997256685990993e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2750,20,0.9998329893516683,4.1639565768226124e-05,9.310889961132686e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2800,20,0.999831401181703,3.6450437669656896e-05,8.150565643897184e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2850,20,0.9998412453570257,3.0918252210464574e-05,6.913531368808192e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2900,20,0.999827691245039,3.8913347427555765e-05,8.701289008008126e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,2950,20,0.9998341605102887,3.506013331874603e-05,7.839684140092143e-06,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,3000,20,0.9998069393025035,6.40453541463151e-05,1.4320976551420856e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,0,20,0.0669577970909502,0.03161419354021557,0.007069148580975675,0.9925,0.01145643923738961,0.002561737691489902,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,50,20,0.6696256826339335,0.19966913135434694,0.04464737507166544,0.99225,0.025073641538476216,0.005606636692349522,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,100,20,0.8922670736477839,0.12730094087667032,0.02846535573999165,0.9984999999999999,0.0039051248379533307,0.0008732124598286498,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,150,20,0.9696006509654612,0.05577843635028737,0.012472437535788783,0.9984999999999999,0.0039051248379533307,0.0008732124598286498,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,200,20,0.9887124904931085,0.025867993264141277,0.005784259138012657,0.9890000000000001,0.0479478883789474,0.010721473779289859,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,250,20,0.9927344132920121,0.01903746833278766,0.00425690733116128,0.9880000000000001,0.04791659420284375,0.010714476188783096,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,300,20,0.9948377871750654,0.016307872411145202,0.003646551127971407,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,350,20,0.9970466427227421,0.009402547734086676,0.0021024735895104423,0.99875,0.004437059837324716,0.0009921567416492222,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,400,20,0.9982262355670632,0.004926592059129336,0.0011016194741623856,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,450,20,0.9989084597776952,0.00192925504179888,0.0004313945419396494,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,500,20,0.9991387608223278,0.000988698906478192,0.00022107979641649447,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,550,20,0.9992795073686096,0.00034494565414194063,7.713219312045111e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,600,20,0.9993171154885501,0.00018553373888283216,4.148660522617086e-05,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,650,20,0.9992892228953355,0.00021519276963168814,4.81185661162907e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,700,20,0.9992825017682374,0.00019247590308785496,4.3038920333510536e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,750,20,0.9992975691024638,0.0001853057809087449,4.143563227356363e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,800,20,0.9993277936220097,0.00013863338528682646,3.099936734522631e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,850,20,0.999322962051475,0.0001416013949110723,3.166303447299505e-05,1.0,0.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,900,20,0.9992904408708971,0.0001756484863968177,3.927619557282314e-05,0.99925,0.003269174207655508,0.0007310095758606729,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,950,20,0.9993741163549867,9.723558000815315e-05,2.1742536672985e-05,0.9984999999999999,0.005500000000000005,0.0012298373876248854,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1000,20,0.9993602750003415,0.00011391945316314829,2.54731641232403e-05,0.9984999999999999,0.005500000000000005,0.0012298373876248854,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1050,20,0.9993245118877908,0.00025006165006087556,5.591548481018821e-05,0.9984999999999999,0.005500000000000005,0.0012298373876248854,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1100,20,0.9993176154722805,0.00018338648738427393,4.100646519461441e-05,0.99875,0.005448623679425847,0.0012183492931011216,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1150,20,0.9993680472167086,0.0001556307693371582,3.4800097962847556e-05,0.9994999999999999,0.002179449471770339,0.00048733971724044866,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1200,20,0.9992931247067942,0.00027915141096199604,6.242015309260031e-05,0.99875,0.0038324274291889763,0.0008569568250501313,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1250,20,0.9993346419163466,0.00021745911642048605,4.862533666432475e-05,0.9984999999999999,0.0039051248379533307,0.0008732124598286498,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1300,20,0.9993156938025793,0.00017629005044222026,3.9419653654567135e-05,0.99925,0.0023848480035423662,0.000533268225192539,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1350,20,0.999304433420356,0.0002644332962903969,5.9129082601967044e-05,0.99925,0.0023848480035423662,0.000533268225192539,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,1400,20,0.9992386832381875,0.00034122218154263484,7.629959933601056e-05,0.99925,0.0023848480035423662,0.000533268225192539,final_fine_grid_steps3000_R20_v1
