model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
vicsek,rho_2,0.050000000000000003,20,0.9998278500693141,1.6730288874132305e-05,3.7410063205768255e-06,0.9999300466355763,0.00031284095621247893,6.99533644237138e-05,200
vicsek,rho_2,0.10000000000000001,20,0.9993255971762401,9.091405271741377e-05,2.0329000198613666e-05,0.999364257161892,0.002181458410004414,0.0004877889294858477,150
vicsek,rho_2,0.14999999999999999,20,0.9984760735476342,0.00024009321802569226,5.3686475644212575e-05,0.9979350433044637,0.0046738289232762945,0.0010450999187650444,150
vicsek,rho_2,0.20000000000000001,20,0.9970096572136937,0.0006591243258778351,0.00014738467982865628,0.9949343770819453,0.008597702511918076,0.0019225047266969513,200
vicsek,rho_2,0.29999999999999999,20,0.9936168946302603,0.0008185708201134465,0.00018303799981714183,0.9985664556962025,0.0022380310266477974,0.0005004389511338118,200
vicsek,rho_2,0.40000000000000002,20,0.9880247931565467,0.0015315467992207952,0.00034246427537799195,0.9937215189873418,0.006994595343270218,0.0015640390662655683,250
vicsek,rho_4,0.050000000000000003,20,0.9998663378381021,6.904268818225696e-06,1.5438414412484793e-06,0.999838524317122,0.0005235467652899171,0.0001170686156588382,150
vicsek,rho_4,0.10000000000000001,20,0.9994773289428501,1.958177793625127e-05,4.378618658576338e-06,0.9999350433044636,0.0002904951736258981,6.495669553631122e-05,150
vicsek,rho_4,0.14999999999999999,20,0.9988136628773099,7.560835521211939e-05,1.6906542192124948e-05,0.9999760992671552,0.00010153248406512056,2.2703353629402375e-05,150
vicsek,rho_4,0.20000000000000001,20,0.997826541597387,0.00019703938895016419,4.40593467937588e-05,0.9999592771485677,0.00011456707507758422,2.561797678568003e-05,150
vicsek,rho_4,0.29999999999999999,20,0.995207700384461,0.00027282526653596754,6.10055841953922e-05,0.9996225016655563,0.0011811875805583798,0.0002641215724307046,200
vicsek,rho_4,0.40000000000000002,20,0.9912795794787815,0.0004689381782156021,0.00010485776437349973,0.9997664890073285,0.00036774590511329773,8.223048422805212e-05,150
vicsek,rho_8,0.050000000000000003,20,0.9998834948185177,2.7692684332687903e-06,6.192272464733354e-07,1.0,0.0,0.0,200
vicsek,rho_8,0.10000000000000001,20,0.9995352091102442,1.0157780150935284e-05,2.271348691798937e-06,0.9999945036642238,2.458036084527365e-05,5.496335776150607e-06,150
vicsek,rho_8,0.14999999999999999,20,0.9989426405696632,2.771801053971825e-05,6.197935576786564e-06,0.9999829280479681,5.294496283967834e-05,1.1838853597572106e-05,150
vicsek,rho_8,0.20000000000000001,20,0.9981277324307136,3.438999362123973e-05,7.689836348287619e-06,0.9999829280479681,4.310465858246839e-05,9.638494673731905e-06,150
vicsek,rho_8,0.29999999999999999,20,0.995747467624882,0.00016332545024536074,3.652068092043863e-05,0.9999603597601598,8.572715580150238e-05,1.916917478898748e-05,150
vicsek,rho_8,0.40000000000000002,20,0.9924512822089699,0.00014771215102250829,3.3029441078904356e-05,0.999965106595603,0.00013406758976452983,2.997842442930437e-05,150
voter,rho_2,0.050000000000000003,20,0.9759282832339267,0.010310391547711538,0.0023054736375322264,0.9894160559626914,0.013443388308573966,0.0030060330105897305,1050
voter,rho_2,0.10000000000000001,20,0.9148475267944776,0.019642994942794624,0.004392307197377337,0.9877554963357762,0.012217180552158577,0.0027318446208014994,sin_evidencia
voter,rho_2,0.14999999999999999,20,0.8308793425986755,0.06735174140168516,0.015060307217715499,0.9708685876082612,0.0327780872670226,0.007329403130148284,3000
voter,rho_2,0.20000000000000001,20,0.7317845600779859,0.06799957438627337,0.015205167076876079,0.967871419053964,0.02015815410434725,0.0045075002878236835,sin_evidencia
voter,rho_2,0.29999999999999999,20,0.57366092494053,0.06246205485698366,0.013966940067453637,0.9672723184543637,0.01714048849836442,0.003832729744989614,sin_evidencia
voter,rho_2,0.40000000000000002,20,0.46247813664180343,0.04764907077909819,0.010654656132676242,0.9546482345103264,0.02344967369787101,0.005243506443862844,sin_evidencia
voter,rho_4,0.050000000000000003,20,0.9623167467511834,0.013893156751783793,0.0031066042919048733,0.9997788974017322,0.00048754055787939,0.00010901738292064867,1250
voter,rho_4,0.10000000000000001,20,0.8505389350383297,0.051742802920110915,0.011570042467574261,0.9976334110592939,0.0032252496116620755,0.0007211877376081199,2550
voter,rho_4,0.14999999999999999,20,0.7753031768654604,0.07927767502627123,0.017727027045687987,0.9961611425716189,0.0033314072625987103,0.0007449253099907208,2550
voter,rho_4,0.20000000000000001,20,0.616179491098622,0.09866987437989054,0.022063254644480015,0.9971709693537643,0.002097344117122476,0.00046898040180951364,2750
voter,rho_4,0.29999999999999999,20,0.47212115048992553,0.05724943692767988,0.012801363264387891,0.9960054130579614,0.0027214703429099853,0.000608539268549639,3000
voter,rho_4,0.40000000000000002,20,0.39802724951456725,0.05344116042707574,0.011949806751141304,0.9959068954030647,0.0025544621730825934,0.0005711951064964512,2950
voter,rho_8,0.050000000000000003,20,0.9252445697029044,0.031452122085270595,0.0070329083019287485,0.9999957944703531,1.1572399475237842e-05,2.587667188941471e-06,1700
voter,rho_8,0.10000000000000001,20,0.7758503612458385,0.14092540261998385,0.031511878001481086,0.9998460193204529,0.00033055146808121604,7.39135552691951e-05,2850
voter,rho_8,0.14999999999999999,20,0.6516878945528678,0.1091582368379707,0.024408523787372415,0.9997464606928714,0.0007283353623737266,0.0001628607380684595,sin_evidencia
