model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
vicsek,rho_2,2,200,0.050000000000000003,1100008,8,3000,0.058134147676466325,0.995,1500,0.9998374184699663,3.114549502760193e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100009,9,3000,0.12010352091879611,1.0,1500,0.9998510358771766,2.66573436863638e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100010,10,3000,0.0725861895104874,0.99,1500,0.9997818859499568,7.560528138282983e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100011,11,3000,0.022676169271729756,0.92,1500,0.9998069271616599,5.659596506963896e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100012,12,3000,0.08552060784948781,1.0,1500,0.9998212136734486,4.4783680327742866e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100013,13,3000,0.04979829863924603,0.965,1500,0.9998047971096783,5.7004061283691736e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100014,14,3000,0.08694022022683408,0.98,1500,0.9998319266669119,3.0835916115113476e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100015,15,3000,0.06229494679160715,1.0,1500,0.999845691001194,2.970127861089393e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100016,16,3000,0.038794569583951,1.0,1500,0.9998367088012429,3.5031143405551496e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100017,17,3000,0.09005638329408465,1.0,1500,0.9998403883065222,2.6710957925398407e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100018,18,3000,0.06090109610860139,0.99,1500,0.9998309373886388,3.5645298105923175e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.050000000000000003,1100019,19,3000,0.05961189686198219,1.0,1500,0.9998159013139025,5.077466281359269e-05,1.0,0.0,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,2,200,0.10000000000000001,1100100,0,3000,0.016216500388510385,0.985,1500,0.9993956833527208,0.00011560090654877336,1.0,0.0,final_fine_grid_steps3000_R20_v1
