model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
voter,rho_2,2,200,0.050000000000000003,1200012,12,3000,0.04739085961765668,1.0,1500,0.9820779617155165,0.008576722447761139,1.0,0.0,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200013,13,3000,0.0268972235154254,1.0,1500,0.9866768420090694,0.005959539815185478,0.9980279813457694,0.005962509162422914,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200014,14,3000,0.09831571467496937,1.0,1500,0.9764787246189474,0.02025448689212136,0.9995469686875416,0.002079681647396032,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200015,15,3000,0.056689365052356014,1.0,1500,0.9674796973645976,0.02099059578088068,0.9878414390406396,0.020939878763880596,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200016,16,3000,0.03694142440354328,1.0,1500,0.9856821791436103,0.0073352477061684705,0.9943937375083278,0.011353982802145017,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200017,17,3000,0.06789102626262424,0.985,1500,0.9714270755968623,0.022576266195057433,0.9964556962025317,0.00763701424253082,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200018,18,3000,0.02515073286239125,1.0,1500,0.9741826216930369,0.0159573769656917,0.997381745502998,0.008467135188420514,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.050000000000000003,1200019,19,3000,0.03289555189536561,1.0,1500,0.9865780434115887,0.005245506856174941,0.9878914057295137,0.06431958897882513,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200100,0,3000,0.09659472068821556,1.0,1500,0.918544809904977,0.04896723877465427,0.9942538307794804,0.014565990580605318,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200101,1,3000,0.01641545638657807,0.995,1500,0.9158296310934382,0.04592403052115526,0.9742571618920719,0.0660400658449745,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200102,2,3000,0.0329184337311943,0.99,1500,0.9031869658246586,0.07955928747057939,0.9721152564956695,0.08094239675651468,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200103,3,3000,0.03515823379149129,0.92,1500,0.884305175323413,0.12004574763325927,0.9993604263824117,0.014291763474670746,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200104,4,3000,0.09208936375360827,0.99,1500,0.8832031673151501,0.07322051793769738,0.9962091938707528,0.008050486643236371,final_fine_grid_steps3000_R20_v1
