model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400114,14,0,1.769,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_014_seed_1400114
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400115,15,0,1.7962,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_015_seed_1400115
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400116,16,0,1.8602,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_016_seed_1400116
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400117,17,0,1.8704,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_017_seed_1400117
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400118,18,0,1.885,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_018_seed_1400118
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400119,19,0,1.758,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_019_seed_1400119
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400200,0,0,1.8426,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_000_seed_1400200
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400201,1,0,1.7465,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_001_seed_1400201
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400202,2,0,1.7616,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_002_seed_1400202
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400203,3,0,1.8487,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_003_seed_1400203
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400204,4,0,1.7273,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_004_seed_1400204
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400205,5,0,1.7417,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_005_seed_1400205
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400206,6,0,1.795,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_006_seed_1400206
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400207,7,0,1.7329,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_007_seed_1400207
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400208,8,0,1.6745,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_008_seed_1400208
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400209,9,0,1.6969,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_009_seed_1400209
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400210,10,0,1.6511,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_010_seed_1400210
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400211,11,0,1.7223,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_011_seed_1400211
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400212,12,0,1.654,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_012_seed_1400212
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400213,13,0,1.8449,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_013_seed_1400213
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400214,14,0,1.8169,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_014_seed_1400214
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400215,15,0,1.8537,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_015_seed_1400215
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400216,16,0,1.779,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_016_seed_1400216
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400217,17,0,1.801,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_017_seed_1400217
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400218,18,0,1.7815,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_018_seed_1400218
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400219,19,0,1.713,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_019_seed_1400219
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400300,0,0,1.5709,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_000_seed_1400300
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400301,1,0,1.6099,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_001_seed_1400301
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400302,2,0,1.5626,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_002_seed_1400302
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400303,3,0,1.5874,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_003_seed_1400303
